x,y,z,phi,theta,psi
3.1192e-05,-0.0028348,-0.00017356,1.0877,0.010927,-0.00069847
3.1277e-05,-0.0028424,-0.00017586,1.0916,0.01096,-0.00066494
3.1361e-05,-0.00285,-0.00017818,1.0954,0.010992,-0.00063115
3.1445e-05,-0.0028575,-0.00018052,1.0992,0.011024,-0.00059712
3.1528e-05,-0.0028649,-0.00018286,1.103,0.011056,-0.00056284
3.1611e-05,-0.0028722,-0.00018522,1.1067,0.011088,-0.00052831
3.1693e-05,-0.0028795,-0.00018759,1.1104,0.011119,-0.00049355
3.1774e-05,-0.0028866,-0.00018997,1.1141,0.01115,-0.00045855
3.1856e-05,-0.0028937,-0.00019237,1.1178,0.011181,-0.00042332
3.1936e-05,-0.0029007,-0.00019477,1.1214,0.011212,-0.00038785
3.2016e-05,-0.0029076,-0.00019719,1.1251,0.011242,-0.00035215
3.2096e-05,-0.0029145,-0.00019963,1.1287,0.011272,-0.00031623
3.2175e-05,-0.0029212,-0.00020207,1.1322,0.011302,-0.00028008
3.2254e-05,-0.0029279,-0.00020452,1.1358,0.011332,-0.00024371
3.2332e-05,-0.0029345,-0.00020699,1.1393,0.011362,-0.00020712
3.241e-05,-0.0029411,-0.00020947,1.1428,0.011391,-0.00017032
3.2487e-05,-0.0029475,-0.00021196,1.1463,0.01142,-0.0001333
3.2564e-05,-0.0029539,-0.00021446,1.1497,0.011449,-9.6073e-05
3.264e-05,-0.0029602,-0.00021698,1.1531,0.011478,-5.8635e-05
3.2717e-05,-0.0029665,-0.0002195,1.1565,0.011507,-2.0991e-05
3.2792e-05,-0.0029726,-0.00022204,1.1599,0.011535,1.6857e-05
3.2868e-05,-0.0029787,-0.00022459,1.1633,0.011563,5.4907e-05
3.2942e-05,-0.0029847,-0.00022715,1.1666,0.011591,9.3155e-05
3.3017e-05,-0.0029907,-0.00022972,1.1699,0.011619,0.0001316
3.3091e-05,-0.0029965,-0.0002323,1.1732,0.011646,0.00017024
3.3165e-05,-0.0030023,-0.00023489,1.1765,0.011674,0.00020907
3.3238e-05,-0.0030081,-0.00023749,1.1797,0.011701,0.00024809
3.3312e-05,-0.0030137,-0.00024011,1.1829,0.011728,0.0002873
3.3384e-05,-0.0030193,-0.00024273,1.1861,0.011755,0.0003267
3.3457e-05,-0.0030248,-0.00024537,1.1893,0.011781,0.00036627
3.3529e-05,-0.0030303,-0.00024801,1.1924,0.011808,0.00040603
3.3601e-05,-0.0030357,-0.00025067,1.1956,0.011834,0.00044597
3.3672e-05,-0.003041,-0.00025334,1.1987,0.01186,0.00048608
3.3743e-05,-0.0030462,-0.00025601,1.2018,0.011886,0.00052637
3.3814e-05,-0.0030514,-0.0002587,1.2048,0.011912,0.00056683
3.3885e-05,-0.0030565,-0.0002614,1.2079,0.011938,0.00060746
3.3955e-05,-0.0030616,-0.0002641,1.2109,0.011963,0.00064826
3.4025e-05,-0.0030666,-0.00026682,1.2139,0.011988,0.00068922
3.4095e-05,-0.0030715,-0.00026955,1.2169,0.012014,0.00073035
3.4164e-05,-0.0030764,-0.00027229,1.2199,0.012039,0.00077164
3.4233e-05,-0.0030812,-0.00027503,1.2228,0.012063,0.00081309
3.4302e-05,-0.0030859,-0.00027779,1.2257,0.012088,0.0008547
3.4371e-05,-0.0030906,-0.00028056,1.2286,0.012113,0.00089646
3.4439e-05,-0.0030952,-0.00028333,1.2315,0.012137,0.00093838
3.4508e-05,-0.0030997,-0.00028612,1.2344,0.012161,0.00098045
3.4576e-05,-0.0031042,-0.00028891,1.2372,0.012185,0.0010227
3.4643e-05,-0.0031087,-0.00029171,1.24,0.012209,0.001065
3.4711e-05,-0.003113,-0.00029453,1.2428,0.012233,0.0011076
3.4778e-05,-0.0031173,-0.00029735,1.2456,0.012257,0.0011502
3.4845e-05,-0.0031216,-0.00030018,1.2484,0.01228,0.001193
3.4912e-05,-0.0031258,-0.00030302,1.2511,0.012303,0.001236
3.4979e-05,-0.0031299,-0.00030587,1.2539,0.012327,0.001279
3.5046e-05,-0.003134,-0.00030873,1.2566,0.01235,0.0013223
3.5112e-05,-0.003138,-0.00031159,1.2593,0.012373,0.0013656
3.5178e-05,-0.003142,-0.00031447,1.2619,0.012395,0.0014091
3.5244e-05,-0.0031459,-0.00031735,1.2646,0.012418,0.0014527
3.531e-05,-0.0031497,-0.00032025,1.2672,0.012441,0.0014965
3.5376e-05,-0.0031535,-0.00032315,1.2698,0.012463,0.0015404
3.5442e-05,-0.0031573,-0.00032606,1.2724,0.012485,0.0015844
3.5507e-05,-0.0031609,-0.00032897,1.275,0.012508,0.0016285
3.5572e-05,-0.0031646,-0.0003319,1.2776,0.01253,0.0016728
