x,y,z,phi,theta,psi
4.9208e-08,6.9767e-10,0.062783,-1.3263e-08,-1.7278e-06,-2.9126e-08
5.0603e-08,7.3593e-10,0.063612,-1.3305e-08,-1.7511e-06,-2.9502e-08
5.2027e-08,7.7568e-10,0.064446,-1.3347e-08,-1.7746e-06,-2.9879e-08
5.348e-08,8.1695e-10,0.065285,-1.3389e-08,-1.7982e-06,-3.0259e-08
5.4961e-08,8.5979e-10,0.066128,-1.343e-08,-1.822e-06,-3.0641e-08
5.6471e-08,9.0424e-10,0.066976,-1.347e-08,-1.846e-06,-3.1025e-08
5.8011e-08,9.5034e-10,0.067828,-1.351e-08,-1.8701e-06,-3.1411e-08
5.9581e-08,9.9813e-10,0.068685,-1.3549e-08,-1.8943e-06,-3.1799e-08
6.1181e-08,1.0477e-09,0.069546,-1.3588e-08,-1.9187e-06,-3.219e-08
6.2811e-08,1.099e-09,0.070412,-1.3627e-08,-1.9433e-06,-3.2582e-08
6.4473e-08,1.1521e-09,0.071283,-1.3665e-08,-1.968e-06,-3.2977e-08
6.6165e-08,1.2071e-09,0.072158,-1.3703e-08,-1.9929e-06,-3.3374e-08
6.789e-08,1.2641e-09,0.073037,-1.374e-08,-2.018e-06,-3.3773e-08
6.9646e-08,1.323e-09,0.073921,-1.3777e-08,-2.0432e-06,-3.4174e-08
7.1435e-08,1.384e-09,0.074809,-1.3813e-08,-2.0685e-06,-3.4577e-08
7.3256e-08,1.447e-09,0.075701,-1.3849e-08,-2.094e-06,-3.4983e-08
7.5111e-08,1.5121e-09,0.076598,-1.3885e-08,-2.1197e-06,-3.5391e-08
7.6999e-08,1.5794e-09,0.0775,-1.392e-08,-2.1456e-06,-3.58e-08
7.892e-08,1.6489e-09,0.078405,-1.3955e-08,-2.1716e-06,-3.6212e-08
8.0876e-08,1.7207e-09,0.079315,-1.3989e-08,-2.1977e-06,-3.6626e-08
8.2867e-08,1.7949e-09,0.080229,-1.4023e-08,-2.2241e-06,-3.7043e-08
8.4892e-08,1.8714e-09,0.081148,-1.4057e-08,-2.2505e-06,-3.7461e-08
8.6953e-08,1.9504e-09,0.082071,-1.4091e-08,-2.2772e-06,-3.7882e-08
8.9049e-08,2.0318e-09,0.082998,-1.4124e-08,-2.304e-06,-3.8304e-08
9.1182e-08,2.1159e-09,0.083929,-1.4157e-08,-2.331e-06,-3.8729e-08
9.335e-08,2.2025e-09,0.084864,-1.4189e-08,-2.3581e-06,-3.9156e-08
9.5556e-08,2.2918e-09,0.085804,-1.4222e-08,-2.3854e-06,-3.9585e-08
9.7799e-08,2.3839e-09,0.086748,-1.4254e-08,-2.4128e-06,-4.0017e-08
1.0008e-07,2.4787e-09,0.087696,-1.4285e-08,-2.4404e-06,-4.045e-08
1.024e-07,2.5764e-09,0.088648,-1.4317e-08,-2.4682e-06,-4.0886e-08
1.0475e-07,2.6771e-09,0.089604,-1.4348e-08,-2.4962e-06,-4.1323e-08
1.0715e-07,2.7807e-09,0.090565,-1.4379e-08,-2.5243e-06,-4.1763e-08
1.0958e-07,2.8874e-09,0.091529,-1.441e-08,-2.5525e-06,-4.2205e-08
1.1206e-07,2.9971e-09,0.092498,-1.444e-08,-2.581e-06,-4.2649e-08
1.1457e-07,3.1101e-09,0.09347,-1.447e-08,-2.6096e-06,-4.3095e-08
1.1713e-07,3.2263e-09,0.094447,-1.4501e-08,-2.6383e-06,-4.3544e-08
1.1972e-07,3.3459e-09,0.095427,-1.453e-08,-2.6672e-06,-4.3994e-08
1.2236e-07,3.4688e-09,0.096412,-1.456e-08,-2.6963e-06,-4.4447e-08
1.2503e-07,3.5952e-09,0.097401,-1.4589e-08,-2.7256e-06,-4.4902e-08
1.2775e-07,3.7251e-09,0.098393,-1.4619e-08,-2.755e-06,-4.5359e-08
1.3051e-07,3.8586e-09,0.09939,-1.4648e-08,-2.7846e-06,-4.5818e-08
1.3332e-07,3.9958e-09,0.10039,-1.4677e-08,-2.8143e-06,-4.6279e-08
1.3616e-07,4.1368e-09,0.10139,-1.4705e-08,-2.8442e-06,-4.6742e-08
1.3906e-07,4.2815e-09,0.1024,-1.4734e-08,-2.8743e-06,-4.7208e-08
1.4199e-07,4.4302e-09,0.10341,-1.4762e-08,-2.9046e-06,-4.7676e-08
1.4497e-07,4.5829e-09,0.10443,-1.479e-08,-2.935e-06,-4.8145e-08
1.4799e-07,4.7397e-09,0.10545,-1.4818e-08,-2.9656e-06,-4.8617e-08
1.5106e-07,4.9005e-09,0.10647,-1.4846e-08,-2.9963e-06,-4.9091e-08
1.5417e-07,5.0656e-09,0.1075,-1.4874e-08,-3.0272e-06,-4.9567e-08
1.5733e-07,5.2351e-09,0.10853,-1.4902e-08,-3.0583e-06,-5.0046e-08
